"Le principe ""Indétectable = Intransmissible"" (I=I ou TasP en anglais) signifie que si la charge virale est indétectable (< 50 copies/mL), le VIH _____.",ne peut pas être transmis lors de rapports sexuels
Quels types de lubrifiants sont incompatibles avec les préservatifs en latex ?,"Les lubrifiants à base de corps gras (huile, vaseline, etc.) car ils peuvent rendre le latex poreux et fragile."
Quelle est la définition de la PrEP (Prophylaxie Préexposition) ?,C'est un traitement préventif qui repose sur l'utilisation de médicaments antirétroviraux pour éviter une infection par le VIH.
Quel est le public cible principal de la PrEP ?,Les personnes séronégatives qui n'utilisent pas systématiquement le préservatif et qui sont à haut risque d'infection par le VIH.
"Quel est le schéma de prise ""en continu"" de la PrEP orale ?","Commencer par 2 comprimés en 1 prise, puis poursuivre avec 1 comprimé par jour, et continuer 7 jours après le dernier rapport."
"Quel est le schéma de prise de la PrEP orale ""à la demande"" pour les hommes cisgenres et les personnes transgenres ayant des rapports anaux ?","Prendre 2 comprimés entre 2h et 24h avant le rapport, puis 1 comprimé 24h après la 1ère prise, et un dernier comprimé 24h après la 2ème prise."
Que faut-il faire en cas de vomissement dans les 30 minutes suivant la prise d'un comprimé de PrEP ?,Il faut reprendre une nouvelle dose.
La PrEP peut-elle être prescrite aux mineurs ?,"Oui, avec le consentement du mineur et l'absence de violence, un médecin peut prescrire la PrEP à partir de 15 ans."
À quelle fréquence un suivi médical doit-il être effectué après l'instauration de la PrEP orale ?,"Tous les 3 mois, avec évaluation de la tolérance, recherche d'IST et contrôle de la sérologie VIH."
Quelle est la nouvelle option de PrEP injectable approuvée en France ?,"Le cabotégravir (Vocabria) en injection intramusculaire, administré tous les 2 mois."
Quel est le principe du Traitement comme Prévention (TasP) ?,Une personne séropositive sous traitement antirétroviral efficace avec une charge virale indétectable ne transmet plus le VIH par voie sexuelle.
Quelle est la définition d'un Accident d'Exposition au Sang (AES) ?,"Un contact avec du sang ou un liquide biologique potentiellement infectieux, via une piqûre, une coupure ou une projection sur une muqueuse ou une peau lésée."
Quel est le délai maximal pour initier un Traitement Post-Exposition (TPE) après une prise de risque ?,"Le traitement doit être instauré le plus tôt possible, idéalement dans les 4 heures, et au plus tard dans les 48 heures qui suivent l'exposition."
Quelle est la durée d'un Traitement Post-Exposition (TPE) ?,"La durée du traitement est de 30 jours, sous surveillance biologique."
"Quel est le premier geste à effectuer après une exposition cutanée (piqûre, coupure) à du sang potentiellement contaminé ?","Nettoyer la plaie à l'eau et au savon, rincer, puis appliquer un antiseptique pendant au moins 5 minutes."
Où un patient doit-il s'orienter en urgence après une exposition à risque pour évaluer la nécessité d'un TPE ?,"Vers un service hospitalier d'urgences ou un centre gratuit d'information, de dépistage et de diagnostic (CeGIDD)."
Un test de dépistage du VIH de 4e génération est fiable _____ semaines après une prise de risque.,6
Quel est le rôle du programme d'échange de seringues pour les usagers de drogues ?,Réduire la transmission du VIH et des hépatites en fournissant du matériel d'injection stérile et en évitant le partage ou la réutilisation.
"Qu'est-ce qu'un ""Stéribox"" ?","C'est un kit de prévention contenant du matériel d'injection stérile (seringues, tampons, etc.) disponible en pharmacie."
Où peut-on se procurer des kits de prévention pour usagers de drogues ?,"En pharmacie, dans les CAARUD (Centres d'Accueil et d'Accompagnement à la Réduction des risques pour Usagers de Drogues) ou les CSAPA (Centres de Soins, d'Accompagnement et de Prévention en Addictologie)."
La PrEP protège-t-elle contre les autres Infections Sexuellement Transmissibles (IST) ?,"Non, la PrEP ne protège que du VIH. Le préservatif reste donc nécessaire pour se protéger des autres IST."
"Quelle vaccination est particulièrement recommandée pour les personnes sous PrEP, notamment les HSH ?","La vaccination contre les hépatites A et B, ainsi que le papillomavirus (HPV)."
"Pour être efficace, le traitement préventif de la transmission mère-enfant du VIH doit être débuté au plus tard _____.",au deuxième trimestre de la grossesse
"La transmission du VIH de la mère à l'enfant est d'environ 0,2% si le traitement antirétroviral est efficace et la charge virale de la mère _____.",indétectable
"Pour un rapport sexuel unique dans les 24 heures suivant la première prise de PrEP discontinue, comment s'arrête le traitement ?","Il faut prendre 2 prises à 24 heures d'intervalle (1 comprimé 24h après le rapport, et 1 autre 24h plus tard)."
Les autotests VIH disponibles en pharmacie détectent les _____ anti-VIH-1 et anti-VIH-2.,anticorps
Comment un mineur peut-il obtenir gratuitement des préservatifs en pharmacie sans que cela apparaisse sur le décompte de l'Assurance maladie ?,"Le mineur peut déclarer sur l'honneur être âgé de moins de 26 ans, et le secret est assuré car la facturation est entièrement dématérialisée et sans frais."
Un test Elisa de 4ème génération est négatif 6 semaines après une prise de risque. Que peut-on en conclure ?,L'absence d'infection par le VIH peut être considérée comme certaine.
Quand faut-il s'orienter vers un service hospitalier pour une éventuelle prescription de Traitement Post-Exposition (TPE) ?,Moins de 48 heures après la prise de risque.
"Dans le contexte de l'utilisation de préservatifs, que faut-il vérifier sur l'emballage avant usage ?","La date de péremption, la présence du marquage CE et, pour les préservatifs masculins, la norme NF."
Le préservatif interne (féminin) est principalement fabriqué en _____ ou en nitrile.,polyuréthane
Quels professionnels de santé sont habilités à prescrire la PrEP ?,"Tout médecin ou sage-femme, dans le cadre d'un protocole de coopération validé."
"Quel est le délai médian entre la contamination par le VIH et le diagnostic en France, selon les données de 2023 ?",Le délai médian est de 36 mois.
Que signifie TROD en matière de dépistage du VIH ?,Test Rapide d'Orientation Diagnostique.
L'ARN plasmatique du VIH devient détectable en laboratoire _____ jours après l'exposition.,7 à 10
Quel est le but des haltes soins addictions (HSA) ?,"Elles permettent aux usagers de drogues de consommer leurs propres substances dans un cadre sécurisé et supervisé, et d'accéder à du matériel stérile."
Que faire en cas d'oubli d'un comprimé de PrEP dans un schéma continu commencé depuis plus de 7 jours ?,"Avaler le comprimé si l'oubli date de moins de 12 heures, sinon sauter la prise et continuer normalement. Si la prise de risque a eu lieu, un avis médical est requis."


